,Reversibility [-]
R1,0.0
R2,0.0
R3,0.16
R4,0.99
R5,0.0
R6,0.05
R7,0.08
R8,0.95
R9,0.91
R10,0.0
R11,1.0
R12,0.0
R13,0.0
R14,0.0
R15,0.0
R16,0.0
