,Reversibility [-]
R1,1.0
R2,189985.29
R3,0.0
R4,0.0
R5,0.0
R6,0.0
R7,2.4717427549492444e+16
R8,1.0
R9,1.0
R10,0.0
R11,1.0
R12,0.0
R13,0.0
R14,0.0
R15,0.0
R16,0.0
