,Reversibility [-]
R1,0.99
R2,4119737.49
R3,0.0
R4,0.0
R5,0.0
R6,0.0
R7,1.7751506062716397e+17
R8,1.0
R9,1.0
R10,0.0
R11,1.0
R12,0.0
R13,0.0
R14,0.0
R15,0.0
R16,0.0
